"","x","y","sst","chlo","a","b","phyto_max","dt"
"1561",-137.5,-67.5,-0.0272195912752958,0.119890497813936,-3.26399131124058,-1.08775618983758,-8.1,0.01
"1562",-132.5,-67.5,-0.0158440672320989,0.135125720473717,-3.06909349468351,-1.07509376691677,-8.1,0.01
"1563",-127.5,-67.5,-0.0151196143740601,0.14193918313593,-2.98754507122416,-1.06973275777893,-8.1,0.01
"1564",-122.5,-67.5,0.0489888198792092,0.131306087221339,-3.1162602076297,-1.07817773516724,-8.1,0.01
"1565",-117.5,-67.5,0.203355169058397,0.102945290262574,-3.50468001532923,-1.10309137754654,-8.2,0.01
"1566",-112.5,-67.5,0.255093768202238,0.0886310695918685,-3.73219602527197,-1.11726342696609,-8.2,0.01
"1567",-107.5,-67.5,0.265825022255102,0.102405496541832,-3.51282372533955,-1.10360420455365,-8.2,0.01
"1568",-102.5,-67.5,0.266971047467037,0.105379488216889,-3.46834625154325,-1.10079846306845,-8.2,0.01
"1569",-97.5,-67.5,0.229438930520137,0.100571362022386,-3.54073499649945,-1.10535876705426,-8.2,0.01
"1570",-92.5,-67.5,0.211469386353795,0.122208113487381,-3.23313528968101,-1.08576580600521,-8.1,0.01
"1571",-87.5,-67.5,0.185362729908517,0.133184892426521,-3.0929252249442,-1.07665353675424,-8.1,0.01
"1572",-82.5,-67.5,0.131328870547943,0.166538678551741,-2.71750113824757,-1.05172258768857,-8.1,0.01
"1573",-77.5,-67.5,0.0824697667807371,0.209519988280584,-2.3182570411526,-1.02439109187167,-8.1,0.01
"1574",-72.5,-67.5,0.0805753510375077,0.309409394106092,-1.62351019609826,-0.974889390880231,-8,0.01
